Órgão superior;Órgão subordinado;Unidade administrativa;Número do contrato;Número do ICJ;Número do processo;Enquadramento do Processo;Fornecedor;CNPJ/CPF;Objeto da contratação;Fundamento legal;Início da vigência;Fim da vigência;Valor do contrato;Saldo bruto do contrato;Saldo inativo;Situação;Número dos aditivos
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580218;2050.0093821.14.2;;DISPENSA;RONCADOR B.V.;EXTERNO;UMBILICAL ELETRO-HIDRÁULICO - RONCADOR - P4-5 - PDA: 187-95099/14;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;29/10/2014;25/10/2024;US$ 2.566.554,26;US$ 0,00;US$ 2.017.865,97;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580219;2050.0093886.14.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ÁRVORE DE NATAL MOLHADA FC-335 - RONCADOR - PDA: 187-93603/14;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;03/11/2014;30/10/2024;US$ 3.075.520,62;US$ 0,00;US$ 2.419.463,44;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580220;2050.0094972.14.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ESTRUTURAS FLEX GÁS LIFT 4" DI - RONCADOR - P4 - 5 GL - PDA: 187-96295/14;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;08/01/2015;04/01/2025;US$ 3.433.040,01;US$ 0,00;US$ 2.721.294,38;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580221;2050.0095067.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;LINHAS FLEXIVEIS GE PRODUCAO P4-5 RONCADOR PDA 187-90037/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;16/01/2015;12/01/2025;US$ 10.504.371,19;US$ 0,00;US$ 8.333.972,90;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580222;2050.0095200.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;UEH - RONCADOR - P4-11 - PDA 187-90102/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;23/01/2015;19/01/2025;US$ 2.156.724,48;US$ 0,00;US$ 1.712.424,64;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580223;2050.0095890.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;LINHAS FLEXÍVEIS 7" DI - RONCADOR - INFIL M2 PROD - 187-90700/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;09/03/2015;05/03/2025;US$ 7.110.115,32;US$ 0,00;US$ 5.581.248,68;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580224;2050.0095903.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ESTRUTURAS FLEXÍVEIS GAS LIFT  4" DI - RONCADOR - INFIL M2 - 187-90701/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;09/03/2015;05/03/2025;US$ 2.318.277,06;US$ 0,00;US$ 1.819.784,94;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580225;2050.0096136.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;LINHAS FLEXÍVEIS PRODUÇÃO 7" DI - RONCADOR P4-9 PROD 187-90985/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;20/03/2015;16/03/2025;US$ 2.679.980,60;US$ 0,00;US$ 2.140.662,19;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580226;2050.0096174.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;LINHAS FLEXÍVEIS DE PRODUÇÃO 7" DI - P1-24 PROD - 187-91100/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;23/03/2015;19/03/2025;US$ 9.462.178,45;US$ 0,00;US$ 7.560.370,40;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580227;2050.0096240.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;UEH 010-25-002 - RONCADOR - 7-RO-115 - PDA 187-91199/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;14/04/2015;10/04/2025;US$ 1.668.908,10;US$ 0,00;US$ 1.065.507,38;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580228;2050.0096241.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;UEH 010-25-002 - RONCADOR - 7-RO-92 - PDA 187-91188/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;10/04/2015;06/04/2025;US$ 785.367,34;US$ 0,00;US$ 618.706,02;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580229;2050.0096400.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;UEH - RONCADOR - INFL-M2 - PDA 187-91407/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;08/04/2015;04/04/2025;US$ 1.462.570,74;US$ 0,00;US$ 1.170.536,32;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580230;2050.0096413.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;UEH - RONCADOR - P2-L23 - PDA 187-91408/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;08/04/2015;04/04/2025;US$ 2.618.315,28;US$ 0,00;US$ 2.095.511,04;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580231;2050.0096496.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;LINHAS FLEXIVEIS INJ AGUA - I4-5 RONCADOR - 187-90453/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;16/04/2015;12/04/2025;US$ 4.971.814,60;US$ 0,00;US$ 3.982.328,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600580232;2050.0096515.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;UEH J150011, J150050, J150052 - RONCADOR - MSGL-RO-1 - PDA 187-91501/15;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;17/04/2015;13/04/2025;US$ 4.585.152,96;US$ 0,00;US$ 3.043.657,50;Concluído;
